event_id,player_in_possession_id,player_in_possession_name,player_id,player_name,frame_start,x_start,y_start,player_in_possession_x_start,player_in_possession_y_start,pass_distance,interplayer_distance,interplayer_angle,trajectory_angle,pass_angle,n_opponents_ahead_pass_reception,n_opponents_bypassed,delta_to_last_defensive_line_start,separation_start,defensive_structure,inside_defensive_shape_end,dangerous,difficult_pass_target,risk_score,team_id,team_class
7_10,149882,K. Abello,151151,H. McCutcheon,451,2.29,24.27,13.32,21.55,9.9,10.96,166.65,30.63,-171.76,9,-2,25.15,9.22,,False,False,False,67.605,2334,Team 1
7_11,151151,H. McCutcheon,149954,K. Strom,468,-8.06,24.24,2.75,27.77,9.98,12.05,-171.31,152.55,-177.07,10,-1,34.67,10.59,523.0,False,False,False,88.804,2334,Team 1
7_34,149954,K. Strom,149873,A. Moorhouse,997,-44.62,10.7,-28.58,28.43,17.24,18.8,-120.07,133.25,-101.92,10,0,51.77,25.22,,False,False,False,83.537,2334,Team 1
7_49,815170,H. Hershfelt,68518,L. Santos,1151,24.52,-8.54,23.32,-13.39,4.46,5.0,76.1,44.47,44.91,7,1,11.54,3.39,,True,False,False,42.477999999999994,2333,Team 2
7_52,68518,L. Santos,59727,C. Krueger,1161,18.06,8.36,27.04,-5.12,12.84,13.73,121.24,28.76,149.48,8,-1,17.56,12.62,,False,False,False,56.556,2333,Team 2
7_59,68518,L. Santos,815170,H. Hershfelt,1222,24.39,-1.55,37.02,-1.2,7.49,9.49,177.28,-16.75,-171.71,9,-2,21.54,9.21,,True,False,False,66.74900000000001,2333,Team 2
7_62,815170,H. Hershfelt,119153,T. Rodman,1242,36.8,-20.93,25.64,-1.91,16.43,21.04,-64.04,-108.58,-49.07,7,2,3.97,11.33,,False,False,False,45.817,2333,Team 2
7_72,662391,R. Kouassi,59727,C. Krueger,1346,31.77,11.79,43.33,9.13,5.39,7.23,-166.96,45.15,-124.72,7,-4,14.29,1.34,,False,True,True,57.67700000000001,2333,Team 2
7_80,68518,L. Santos,662391,R. Kouassi,1426,28.86,26.52,29.37,12.68,17.59,13.7,92.18,102.68,109.32,3,5,9.43,8.18,,False,False,False,54.273999999999994,2333,Team 2
7_94,22542,Marta,149954,K. Strom,2086,-1.31,-12.38,17.05,-30.84,20.2,25.95,134.5,158.82,155.81,10,-1,36.91,19.57,442.0,False,False,False,86.01400000000001,2334,Team 1
7_95,149954,K. Strom,149882,K. Abello,2128,2.67,19.81,-3.66,4.54,13.29,16.53,67.48,113.3,45.09,9,1,24.04,13.21,532.0,False,False,False,57.45199999999999,2334,Team 1
7_99,149882,K. Abello,149954,K. Strom,2160,-9.02,16.46,5.78,28.01,16.33,17.42,-147.5,108.43,-140.44,10,-2,36.79,10.5,442.0,False,False,False,79.831,2334,Team 1
7_100,149954,K. Strom,151151,H. McCutcheon,2188,4.7,20.48,-11.9,23.69,16.04,15.82,-13.26,154.25,-16.25,7,3,19.6,5.59,442.0,True,False,False,54.37,2334,Team 1
