player_in_possession_id,player_in_possession_name,team_class,avg_risk_score
22542,Marta,Team 1,53.96
22730,G. Carle,Team 2,59.45
22814,M. Gautrat,Team 1,42.21
57072,E. Morgan,Team 2,58.8
57138,C. Pickett,Team 1,64.93
59727,C. Krueger,Team 2,54.94
62389,Angelina,Team 1,57.84
62445,B. Banda,Team 1,53.89
62526,A. Kingsbury,Team 2,59.65
62527,A. Hatch,Team 2,53.5
63540,Adriana,Team 1,48.23
68518,L. Santos,Team 2,55.17
119153,T. Rodman,Team 2,57.24
149873,A. Moorhouse,Team 1,61.83
149882,K. Abello,Team 1,53.1
149954,K. Strom,Team 1,66.93
149990,T. McKeown,Team 2,57.99
151077,J. Doyle,Team 1,79.81
151151,H. McCutcheon,Team 1,57.02
151602,A. Watt,Team 1,53.53
441597,E. Madril Sams,Team 1,72.48
610122,S. Yates,Team 1,57.4
627216,P. Metayer,Team 2,59.51
629253,L. Silano,Team 2,48.33
662391,R. Kouassi,Team 2,44.36
815170,H. Hershfelt,Team 2,56.69
815174,M. Morris,Team 2,50.38
817541,C. Dyke,Team 1,52.11
