event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1848387,157,168,00:07.7,00:08.8,0,7,1.1,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,62480,Kerolin,20,RF,57140,K. Kurtz,6,RCB,1833,NC Courage,4.67,-19.85,4,half_space_right,2,middle_third,False,9.83,-18.89,4,half_space_right,2,middle_third,False,8_1,144,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,4.78,10.54,1,forward,False,False,17.09,2,running,5.2,4.12,-1.08,21.55,23.98,16.88,14.15,-2.73,30.95,28.52,-2.43,False,False,3,ahead,3,ahead,27.27,28.98,-14.29,-0.25,3,center,2,middle_third,False,-12.49,-0.4,3,center,2,middle_third,False,True,False,,False,False,0.0008,0.6553,0.3689,False,False,0,False,,,,False,6,7,1,True,True,
1_1,1,1848387,431,458,00:35.1,00:37.8,0,35,2.7,1,2,right_to_left,1,off_ball_run,1,behind,188612,M. Matsukubo,19,CF,63796,F. Rauch,2,LB,1833,NC Courage,13.02,9.16,3,center,2,middle_third,False,26.92,11.07,2,half_space_left,3,attacking_third,False,8_10,437,3,drawing,0,0,5,1,create,9,medium_block,False,False,14.17,7.82,1,forward,False,False,19.42,2,running,3.77,3.48,-0.3,17.25,28.43,4.23,1.51,-2.72,35.25,24.07,-11.18,True,True,3,ahead,3,ahead,19.67,25.03,6.89,27.85,1,wide_left,2,middle_third,False,12.33,31.41,1,wide_left,2,middle_third,False,True,False,,True,True,0.026,0.2426,0.8962,True,True,1,False,True,True,False,True,2,4,2,True,True,
1_2,2,1848387,442,458,00:36.2,00:37.8,0,36,1.6,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,188659,Aline Gomes,18,LF,63796,F. Rauch,2,LB,1833,NC Courage,17.02,20.43,1,wide_left,2,middle_third,False,25.04,22.74,1,wide_left,3,attacking_third,False,8_10,437,3,drawing,0,0,5,1,create,9,medium_block,False,False,8.36,16.07,1,forward,False,False,18.71,2,running,2.32,2.28,-0.03,20.09,28.43,3.07,3.39,0.32,32.41,24.07,-8.34,True,True,3,ahead,3,ahead,11.91,15.39,9.06,29.29,1,wide_left,2,middle_third,False,12.33,31.41,1,wide_left,2,middle_third,False,False,False,,False,True,0.0139,0.5431,0.9481,True,True,1,False,,,,True,3,4,1,True,True,
1_3,3,1848387,659,669,00:57.9,00:58.9,0,57,1.0,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,816479,T. Chawinga,16,LW,816480,C. Hutton,9,LDM,2329,KC Current,-11.93,-7.57,3,center,2,middle_third,False,-7.32,-7.84,3,center,2,middle_third,False,8_14,667,3,drawing,0,0,7,5,chaotic,5,chaotic,False,False,4.63,-3.35,1,forward,False,False,16.56,2,running,6.2,1.72,-4.48,-0.35,-0.37,11.58,6.95,-4.63,52.85,52.87,0.02,True,True,3,ahead,3,ahead,10.04,13.14,-18.26,-15.36,4,half_space_right,1,defensive_third,False,-18.29,-15.07,4,half_space_right,1,defensive_third,False,True,False,,False,True,0.0091,0.4069,0.5695,False,True,0,False,,,,False,3,4,1,True,True,
1_4,4,1848387,688,715,01:00.8,01:03.5,1,0,2.7,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,188612,M. Matsukubo,19,CF,18897,R. Williams,8,RB,1833,NC Courage,23.35,14.26,2,half_space_left,3,attacking_third,False,24.47,-0.15,3,center,3,attacking_third,False,8_15,684,3,drawing,0,0,9,2,finish,8,low_block,False,False,13.94,-85.56,4,sideway_right,False,True,19.27,2,running,5.17,4.12,-1.05,28.52,28.58,5.17,4.11,-1.06,23.98,23.92,-0.06,True,True,3,ahead,3,ahead,18.74,8.49,5.9,7.42,3,center,2,middle_third,False,16.03,-1.03,3,center,2,middle_third,False,False,False,,False,True,0.0145,0.6251,0.9653,True,True,1,False,,,,False,4,2,-2,True,True,
1_5,5,1848387,700,733,01:02.0,01:05.3,1,2,3.3,1,2,right_to_left,1,off_ball_run,7,pulling_wide,62480,Kerolin,20,RF,18897,R. Williams,8,RB,1833,NC Courage,14.24,-8.27,3,center,2,middle_third,False,26.35,-21.71,5,wide_right,3,attacking_third,False,8_15,684,3,drawing,0,0,9,2,finish,8,low_block,False,False,17.69,-47.98,4,sideway_right,True,False,20.05,3,hsr,6.42,5.42,-1.01,26.77,33.14,12.53,6.79,-5.74,25.73,19.36,-6.37,False,False,3,ahead,3,ahead,13.71,13.94,10.21,4.83,3,center,2,middle_third,False,22.37,-8.35,3,center,3,attacking_third,False,True,True,True,False,False,0.0077,0.9777,0.9629,True,True,1,False,,,,True,5,6,1,True,True,True
1_6,6,1848387,716,737,01:03.6,01:05.7,1,3,2.1,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,188612,M. Matsukubo,19,CF,62480,Kerolin,20,RF,1833,NC Courage,24.58,-0.7,3,center,3,attacking_third,False,30.29,-8.99,3,center,3,attacking_third,False,8_16,733,3,drawing,0,0,9,2,finish,8,low_block,False,False,10.07,-55.44,4,sideway_right,False,False,17.96,2,running,3.96,3.32,-0.64,28.81,34.4,4.23,4.11,-0.12,23.69,18.1,-5.59,True,True,3,ahead,2,same_line,15.06,15.07,18.74,-14.58,4,half_space_right,3,attacking_third,False,28.12,-23.9,5,wide_right,3,attacking_third,False,False,False,,False,True,0.019,0.5939,0.7898,True,True,1,False,,,,True,4,4,0,True,True,
1_7,7,1848387,716,768,01:03.6,01:08.8,1,3,5.2,1,2,right_to_left,1,off_ball_run,9,support,18897,R. Williams,8,RB,62480,Kerolin,20,RF,1833,NC Courage,16.32,-1.51,3,center,2,middle_third,False,33.96,-23.63,5,wide_right,3,attacking_third,False,8_16,733,3,drawing,0,0,9,2,finish,8,low_block,False,False,29.11,-51.43,4,sideway_right,True,False,20.1,3,hsr,2.12,4.11,1.99,28.81,41.39,12.49,7.43,-5.06,23.69,11.11,-12.58,True,True,2,same_line,2,same_line,13.29,8.79,18.74,-14.58,4,half_space_right,3,attacking_third,False,35.35,-32.31,5,wide_right,3,attacking_third,False,True,False,,False,False,0.0031,0.9543,0.9823,True,True,1,False,,,,True,6,7,1,True,True,
1_8,8,1848387,892,912,01:21.2,01:23.2,1,21,2.0,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,63796,F. Rauch,2,LB,188659,Aline Gomes,18,LF,1833,NC Courage,18.16,18.99,2,half_space_left,3,attacking_third,False,26.47,26.98,1,wide_left,3,attacking_third,False,8_22,896,3,drawing,0,0,11,2,finish,8,low_block,False,False,11.58,43.88,1,forward,True,False,20.74,3,hsr,3.77,0.85,-2.91,29.82,31.96,11.66,5.49,-6.17,22.68,20.54,-2.14,True,False,2,same_line,3,ahead,12.96,8.19,20.23,31.78,1,wide_left,3,attacking_third,False,18.82,29.9,1,wide_left,3,attacking_third,False,True,False,,False,True,0.0056,0.5933,0.9533,True,True,0,False,,,,True,5,7,2,True,True,
1_9,9,1848387,1136,1160,01:45.6,01:48.0,1,45,2.4,1,2,right_to_left,1,off_ball_run,4,dropping_off,57140,K. Kurtz,6,RCB,149933,M. Berkely,4,LCB,1833,NC Courage,2.54,20.8,1,wide_left,2,middle_third,False,-7.49,15.93,2,half_space_left,2,middle_third,False,8_28,1127,3,drawing,0,0,14,1,create,9,medium_block,False,False,11.16,-154.1,2,backward,False,True,16.66,2,running,7.15,15.1,7.95,25.27,21.19,22.73,28.68,5.95,27.23,31.31,4.08,False,False,3,ahead,2,same_line,9.0,8.94,-5.03,25.67,1,wide_left,2,middle_third,False,-5.61,24.67,1,wide_left,2,middle_third,False,True,True,True,False,False,0.0004,0.9993,0.9788,True,True,0,False,,,,True,10,9,-1,True,True,True
1_10,10,1848387,1240,1267,01:56.0,01:58.7,1,56,2.7,1,1,left_to_right,1,off_ball_run,1,behind,22541,Debinha,19,CF,188178,M. Cooper,17,RW,2329,KC Current,3.6,-7.07,3,center,2,middle_third,False,16.4,-9.32,4,half_space_right,2,middle_third,False,8_31,1242,3,drawing,0,0,15,5,chaotic,5,chaotic,False,False,13.38,-9.97,1,forward,False,False,18.77,2,running,7.33,3.31,-4.03,10.73,17.01,7.13,0.61,-6.52,41.77,35.49,-6.28,True,False,2,same_line,3,ahead,15.9,13.19,2.94,-22.96,5,wide_right,2,middle_third,False,4.32,-14.62,4,half_space_right,2,middle_third,False,True,False,,True,True,0.0402,0.6136,0.9289,True,True,2,False,True,False,False,True,1,3,2,True,True,
1_11,11,1848387,1246,1267,01:56.6,01:58.7,1,56,2.1,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,151129,V. DiBernardo,15,AM,188178,M. Cooper,17,RW,2329,KC Current,-0.68,-16.49,4,half_space_right,2,middle_third,False,6.53,-22.54,5,wide_right,2,middle_third,False,8_31,1242,3,drawing,0,0,15,5,chaotic,5,chaotic,False,False,9.02,-40.0,1,forward,True,False,16.37,2,running,1.35,5.9,4.55,10.81,17.01,11.49,10.48,-1.01,41.69,35.49,-6.2,True,False,1,behind,2,same_line,7.14,8.22,4.32,-21.59,5,wide_right,2,middle_third,False,4.32,-14.62,4,half_space_right,2,middle_third,False,False,False,,False,False,0.0038,0.8323,0.8108,True,False,2,False,,,,True,4,4,0,True,True,
1_12,12,1848387,1251,1267,01:57.1,01:58.7,1,57,1.6,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,816479,T. Chawinga,16,LW,188178,M. Cooper,17,RW,2329,KC Current,1.31,2.51,3,center,2,middle_third,False,11.18,0.5,3,center,2,middle_third,False,8_31,1242,3,drawing,0,0,15,5,chaotic,5,chaotic,False,False,10.08,-11.51,1,forward,False,False,22.59,3,hsr,9.29,3.64,-5.65,11.68,17.01,10.37,5.83,-4.54,40.82,35.49,-5.33,True,True,1,behind,3,ahead,22.52,16.6,4.68,-19.76,4,half_space_right,2,middle_third,False,4.32,-14.62,4,half_space_right,2,middle_third,False,False,False,,True,False,0.044,0.7945,0.8977,True,False,2,False,,,,True,2,4,2,True,True,
