event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1850048,175,175,00:09.5,00:09.5,0,9,0.0,1,2,right_to_left,8,player_possession,62527,A. Hatch,19,CF,2333,Washington,0.72,-0.29,3,center,2,middle_third,False,0.72,-0.29,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,False,True,10,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,-116.57,4,sideway_right,,,0.56,1,jogging,9.1,9.1,0.0,24.13,24.13,23.41,23.41,0.0,28.37,28.37,0.0,False,False,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,815170,H. Hershfelt,14.0,RM,-13.22,-0.51,3,center,2,middle_third,False,-12.82,0.13,3,center,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,16.17,2,medium,-179.5,2,backward,,,,,10,10,0,True,True,,True,False
8_1,1,1850048,189,199,00:10.9,00:11.9,0,10,1.0,1,2,right_to_left,8,player_possession,815170,H. Hershfelt,14,RM,2333,Washington,-12.82,0.13,3,center,2,middle_third,False,-12.86,1.46,3,center,2,middle_third,False,3,drawing,0,0,0,2,False,False,False,False,10,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,1.38,91.72,3,sideway_left,,,4.93,1,jogging,15.38,11.37,-4.01,22.0,20.4,34.82,33.26,-1.56,30.5,32.1,1.6,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,-179.5,2,backward,16.17,2,medium,1,successful,7_0,False,22730,G. Carle,2.0,LB,-15.2,20.77,1,wide_left,2,middle_third,False,-15.3,21.04,1,wide_left,2,middle_third,False,0.9986,False,0.0002,False,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,5,5,True,4141.0,2,,False,False,,,,,19.45,2,medium,96.91,3,sideway_left,16.04,2,medium,94.68,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
8_2,2,1850048,217,217,00:13.7,00:13.7,0,13,0.0,1,2,right_to_left,8,player_possession,22730,G. Carle,2,LB,2333,Washington,-15.34,21.03,1,wide_left,2,middle_third,False,-15.34,21.03,1,wide_left,2,middle_third,False,3,drawing,0,0,0,3,False,False,False,False,10,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,-90.0,4,sideway_right,,,1.7,1,jogging,8.18,8.18,0.0,16.31,16.31,31.65,31.65,0.0,36.19,36.19,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,94.68,3,sideway_left,16.04,2,medium,1,successful,7_2,False,57072,E. Morgan,4.0,LCB,-24.5,9.48,2,half_space_left,1,defensive_third,False,-25.28,9.41,2,half_space_left,1,defensive_third,False,0.999,False,0.0001,False,2,0,0,0,0,0,1,0,0,2,0,,,,,7,7,True,4141.0,2,,False,False,,,,,14.74,1,short,-128.42,4,sideway_right,16.19,2,medium,-119.62,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_3,3,1850048,237,249,00:15.7,00:16.9,0,15,1.2,1,2,right_to_left,8,player_possession,57072,E. Morgan,4,LCB,2333,Washington,-25.28,9.41,2,half_space_left,1,defensive_third,False,-25.13,7.91,3,center,1,defensive_third,False,3,drawing,0,0,0,4,False,False,False,False,10,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,1.52,-84.29,4,sideway_right,,,4.44,1,jogging,10.56,9.9,-0.66,11.39,8.68,36.67,33.81,-2.86,41.11,43.82,2.71,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,-119.62,4,sideway_right,16.19,2,medium,1,successful,7_4,False,149990,T. McKeown,6.0,RCB,-26.59,-11.64,4,half_space_right,1,defensive_third,False,-27.36,-13.24,4,half_space_right,1,defensive_third,False,0.999,False,0.0,False,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,8,8,True,4141.0,2,,False,False,,,,,19.6,2,medium,-94.27,4,sideway_right,18.56,2,medium,-91.2,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_4,4,1850048,264,283,00:18.4,00:20.3,0,18,1.9,1,2,right_to_left,8,player_possession,149990,T. McKeown,6,RCB,2333,Washington,-27.36,-13.24,4,half_space_right,1,defensive_third,False,-27.34,-12.49,4,half_space_right,1,defensive_third,False,3,drawing,0,0,0,5,False,False,False,False,10,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,1.53,88.47,3,sideway_left,,,3.24,1,jogging,15.99,14.44,-1.55,7.02,7.61,34.38,34.95,0.57,45.48,44.89,-0.59,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,-91.2,4,sideway_right,18.56,2,medium,1,successful,7_6,False,57072,E. Morgan,4.0,LCB,-26.32,6.34,3,center,1,defensive_third,False,-26.76,6.96,3,center,1,defensive_third,False,0.9992,False,0.0,False,2,0,0,0,0,0,1,0,0,2,0,2,1,1,1,9,9,True,424.0,3,False,False,False,,,,,18.86,2,medium,86.9,3,sideway_left,17.23,2,medium,84.41,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
8_5,5,1850048,298,346,00:21.8,00:26.6,0,21,4.8,1,2,right_to_left,8,player_possession,57072,E. Morgan,4,LCB,2333,Washington,-26.76,6.96,3,center,1,defensive_third,False,-22.17,8.42,3,center,1,defensive_third,False,3,drawing,0,0,0,6,False,False,False,False,10,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,6.72,17.64,1,forward,False,False,5.01,1,jogging,14.92,10.05,-4.87,7.55,8.54,34.31,30.71,-3.6,44.95,43.96,-0.99,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,84.41,3,sideway_left,17.23,2,medium,1,successful,7_10,False,149990,T. McKeown,6.0,RCB,-23.86,-10.6,4,half_space_right,1,defensive_third,False,-21.93,-12.95,4,half_space_right,1,defensive_third,False,0.9992,False,0.0001,False,4,0,0,0,0,0,2,0,0,4,0,2,2,1,2,8,8,True,424.0,3,False,False,False,,,,,19.09,2,medium,-95.08,4,sideway_right,18.06,2,medium,-95.18,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_6,6,1850048,366,385,00:28.6,00:30.5,0,28,1.9,1,2,right_to_left,8,player_possession,149990,T. McKeown,6,RCB,2333,Washington,-21.93,-12.95,4,half_space_right,1,defensive_third,False,-19.19,-17.8,4,half_space_right,1,defensive_third,False,3,drawing,0,0,0,7,False,False,False,False,10,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,5.28,-60.54,4,sideway_right,False,False,10.61,1,jogging,13.43,11.15,-2.27,8.86,9.43,30.79,28.62,-2.17,43.64,43.07,-0.57,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-95.18,4,sideway_right,18.06,2,medium,1,successful,7_11,False,59727,C. Krueger,8.0,RB,-12.84,-30.13,5,wide_right,2,middle_third,False,-12.91,-29.79,5,wide_right,2,middle_third,False,0.9986,False,0.0001,False,3,0,2,1,1,0,3,0,0,3,0,1,3,1,3,8,8,True,424.0,3,False,False,False,,,,,13.87,1,short,-62.75,4,sideway_right,11.29,1,short,-50.86,4,sideway_right,True,10,10,0,10,10,0,True,True,True,True,False
8_7,7,1850048,396,405,00:31.6,00:32.5,0,31,0.9,1,2,right_to_left,8,player_possession,59727,C. Krueger,8,RB,2333,Washington,-12.91,-29.79,5,wide_right,2,middle_third,False,-13.51,-28.97,5,wide_right,2,middle_third,False,3,drawing,0,0,0,8,False,False,False,False,10,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.95,126.19,3,sideway_left,,,4.1,1,jogging,7.46,4.45,-3.01,9.72,9.41,22.63,22.92,0.29,42.78,43.09,0.31,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,-50.86,4,sideway_right,11.29,1,short,1,successful,7_14,False,149990,T. McKeown,6.0,RCB,-21.85,-23.39,5,wide_right,1,defensive_third,False,-23.73,-23.79,5,wide_right,1,defensive_third,False,0.9987,False,0.0001,False,2,1,0,0,0,0,1,0,0,2,0,2,2,1,1,7,7,True,424.0,3,False,False,False,,,,,10.03,1,short,146.21,2,backward,10.2,1,short,140.17,2,backward,False,10,10,0,10,10,0,True,True,True,True,False
8_8,8,1850048,417,451,00:33.7,00:37.1,0,33,3.4,1,2,right_to_left,8,player_possession,149990,T. McKeown,6,RCB,2333,Washington,-23.73,-23.79,5,wide_right,1,defensive_third,False,-22.93,-15.33,4,half_space_right,1,defensive_third,False,3,drawing,0,0,0,9,False,False,True,False,10,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,9.15,84.6,3,sideway_left,False,True,9.61,1,jogging,12.05,9.13,-2.92,7.23,7.05,30.96,29.98,-0.98,45.27,45.45,0.18,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,140.17,2,backward,10.2,1,short,1,successful,7_19,False,62526,A. Kingsbury,1.0,GK,-42.27,-3.28,3,center,1,defensive_third,False,-42.32,-2.29,3,center,1,defensive_third,False,0.9984,False,0.0,False,4,0,0,0,0,0,1,0,0,4,0,2,2,1,1,8,9,True,424.0,3,False,False,False,,,,,22.79,2,medium,148.07,2,backward,20.98,2,medium,148.11,2,backward,False,10,10,0,10,10,0,True,True,True,False,False
8_9,9,1850048,464,544,00:38.4,00:46.4,0,38,8.0,1,2,right_to_left,8,player_possession,62526,A. Kingsbury,1,GK,2333,Washington,-42.32,-2.29,3,center,1,defensive_third,False,-42.09,0.07,3,center,1,defensive_third,False,3,drawing,0,0,1,1,False,False,True,True,1,False,6,direct,15,defending_direct,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,2.58,84.43,3,sideway_left,False,False,,,,25.46,28.14,2.68,6.94,10.5,49.26,52.59,3.33,45.56,42.0,-3.56,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,148.11,2,backward,20.98,2,medium,1,successful,7_23,True,815174,M. Morris,16.0,LW,-1.58,13.11,2,half_space_left,2,middle_third,False,14.06,28.77,1,wide_left,2,middle_third,False,0.751,False,0.0005,False,5,0,4,0,3,1,5,0,0,5,0,1,2,1,5,10,10,True,424.0,3,True,True,True,3,last,2,around,42.56,3,long,17.84,1,forward,39.11,3,long,14.85,1,forward,True,10,3,7,10,10,0,False,False,True,True,True
