event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,1875301,228,228,00:14.8,00:14.8,0,14,0.0,1,1,left_to_right,7,passing_option,62445,B. Banda,19,CF,149873,A. Moorhouse,1,GK,2334,Orlando Pride,10.53,13.42,2,half_space_left,2,middle_third,False,10.53,13.42,2,half_space_left,2,middle_third,False,8_1,228,1_0,8,run_ahead_of_the_ball,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,0.0,2.6,1,forward,False,False,19.02,2,running,6.68,6.68,0.0,23.15,23.15,12.62,12.62,0.0,29.35,29.35,0.0,True,True,,True,442.0,3,True,2,around,False,,,False,,,1,first,2,around,35.11,3,long,20.78,1,forward,,,,,,,True,10,5,5,3,ahead,3,ahead,35.11,35.11,-22.3,0.96,3,center,1,defensive_third,False,-22.3,0.96,3,center,1,defensive_third,False,False,False,,False,True,0.0073,0.5354,0.9259,True,228,True,2,True,True,True,,False
7_1,1,1875301,228,228,00:14.8,00:14.8,0,14,0.0,1,1,left_to_right,7,passing_option,63540,Adriana,16,LW,149873,A. Moorhouse,1,GK,2334,Orlando Pride,8.36,15.98,2,half_space_left,2,middle_third,False,8.36,15.98,2,half_space_left,2,middle_third,False,8_1,228,1_1,8,run_ahead_of_the_ball,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,0.0,-7.48,1,forward,False,False,17.06,2,running,7.12,7.12,0.0,23.15,23.15,14.79,14.79,0.0,29.35,29.35,0.0,True,True,,True,442.0,3,True,2,around,False,,,False,,,1,first,2,around,34.14,3,long,26.1,1,forward,,,,,,,True,10,5,5,3,ahead,3,ahead,34.14,34.14,-22.3,0.96,3,center,1,defensive_third,False,-22.3,0.96,3,center,1,defensive_third,False,True,False,,False,True,0.0059,0.5522,0.9038,True,228,True,2,True,True,True,,False
7_2,2,1875301,228,228,00:14.8,00:14.8,0,14,0.0,1,1,left_to_right,7,passing_option,149882,K. Abello,2,LB,149873,A. Moorhouse,1,GK,2334,Orlando Pride,5.2,25.41,1,wide_left,2,middle_third,False,5.2,25.41,1,wide_left,2,middle_third,False,8_1,228,,,,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,0.0,-23.51,1,forward,False,False,10.39,1,jogging,3.15,3.15,0.0,23.15,23.15,17.95,17.95,0.0,29.35,29.35,0.0,False,False,,True,442.0,3,True,2,around,False,,,False,,,1,first,2,around,36.8,3,long,41.64,1,forward,,,,,,,True,10,6,4,3,ahead,3,ahead,36.8,36.8,-22.3,0.96,3,center,1,defensive_third,False,-22.3,0.96,3,center,1,defensive_third,False,False,False,,False,False,0.0018,0.657,0.8484,True,228,True,2,True,True,True,,False
7_3,3,1875301,384,384,00:30.4,00:30.4,0,30,0.0,1,1,left_to_right,7,passing_option,149882,K. Abello,2,LB,22542,Marta,19,CF,2334,Orlando Pride,-0.51,33.39,1,wide_left,2,middle_third,False,-0.51,33.39,1,wide_left,2,middle_third,False,8_2,384,,,,3,drawing,0,0,2,5,chaotic,5,chaotic,False,False,0.0,-94.24,4,sideway_right,False,False,3.93,1,jogging,7.43,7.43,0.0,22.25,22.25,22.76,22.76,0.0,30.25,30.25,0.0,False,False,,False,,,,,,,,,,,,,,,,7.74,1,short,156.05,2,backward,,,,,,,False,7,9,-2,1,behind,1,behind,7.74,7.74,6.56,30.25,1,wide_left,2,middle_third,False,6.56,30.25,1,wide_left,2,middle_third,False,True,False,,False,False,0.0013,0.9482,0.9603,True,384,True,1,True,True,True,,False
7_4,4,1875301,384,384,00:30.4,00:30.4,0,30,0.0,1,1,left_to_right,7,passing_option,151151,H. McCutcheon,12,LM,22542,Marta,19,CF,2334,Orlando Pride,0.52,26.7,1,wide_left,2,middle_third,False,0.52,26.7,1,wide_left,2,middle_third,False,8_2,384,,,,3,drawing,0,0,2,5,chaotic,5,chaotic,False,False,0.0,-163.3,2,backward,False,False,2.42,1,jogging,2.67,2.67,0.0,22.25,22.25,21.73,21.73,0.0,30.25,30.25,0.0,True,True,,False,,,,,,,,,,,,,,,,7.01,1,short,-149.56,2,backward,,,,,,,False,7,9,-2,1,behind,1,behind,7.01,7.01,6.56,30.25,1,wide_left,2,middle_third,False,6.56,30.25,1,wide_left,2,middle_third,False,False,False,,False,False,0.0016,0.7702,0.791,True,384,True,1,True,True,True,,False
7_5,5,1875301,400,406,00:32.0,00:32.6,0,32,0.6,1,1,left_to_right,7,passing_option,151151,H. McCutcheon,12,LM,149882,K. Abello,2,LB,2334,Orlando Pride,-0.64,26.52,1,wide_left,2,middle_third,False,-1.8,26.8,1,wide_left,2,middle_third,False,8_4,400,,,,3,drawing,0,0,5,2,finish,8,low_block,False,False,1.2,166.43,2,backward,False,False,7.07,1,jogging,2.55,8.2,5.65,20.68,19.93,21.32,21.73,0.41,31.82,32.57,0.75,True,True,,False,,,,,,,,,,,,,,,,10.96,1,short,166.65,2,backward,,,,,,,False,7,9,-2,2,same_line,2,same_line,4.31,3.44,-0.04,30.79,1,wide_left,2,middle_third,False,0.3,29.52,1,wide_left,2,middle_third,False,False,False,True,False,False,0.0017,0.9967,0.9477,True,454,True,2,False,True,True,,False
7_6,6,1875301,400,428,00:32.0,00:34.8,0,32,2.8,1,1,left_to_right,7,passing_option,22542,Marta,19,CF,149882,K. Abello,2,LB,2334,Orlando Pride,2.65,29.43,1,wide_left,2,middle_third,False,3.58,20.37,1,wide_left,2,middle_third,False,8_4,400,1_2,9,support,3,drawing,0,0,5,2,finish,8,low_block,False,False,9.82,-84.14,4,sideway_right,False,False,12.61,1,jogging,2.83,4.6,1.77,20.68,21.55,18.03,17.97,-0.06,31.82,30.95,-0.87,True,True,,False,,,,,,,,,,,,,,,,2.57,1,short,-115.07,4,sideway_right,,,,,,,False,6,7,-1,2,same_line,2,same_line,3.01,4.03,-0.04,30.79,1,wide_left,2,middle_third,False,6.37,23.28,1,wide_left,2,middle_third,False,False,False,,False,False,0.0042,0.9304,0.8001,True,418,True,4,False,True,True,,False
7_7,7,1875301,408,446,00:32.8,00:36.6,0,32,3.8,1,1,left_to_right,7,passing_option,63540,Adriana,16,LW,149882,K. Abello,2,LB,2334,Orlando Pride,10.63,27.31,1,wide_left,2,middle_third,False,24.16,19.71,2,half_space_left,3,attacking_third,False,8_4,400,1_3,8,run_ahead_of_the_ball,3,drawing,0,0,5,2,finish,8,low_block,False,False,15.69,-29.32,1,forward,False,True,14.75,1,jogging,1.56,1.92,0.36,19.74,26.42,9.11,2.26,-6.85,32.76,26.08,-6.68,True,True,,False,,,,,,,,,,,,,,,,10.16,1,short,1.52,1,forward,,,,,,,True,6,4,2,3,ahead,3,ahead,10.22,11.62,0.56,29.08,1,wide_left,2,middle_third,False,12.62,21.1,1,wide_left,2,middle_third,False,False,False,,True,True,0.0252,0.4785,0.8912,True,439,False,5,False,True,True,,False
7_8,8,1875301,415,449,00:33.5,00:36.9,0,33,3.4,1,1,left_to_right,7,passing_option,151602,A. Watt,17,RW,149882,K. Abello,2,LB,2334,Orlando Pride,18.22,-15.33,4,half_space_right,3,attacking_third,False,24.63,-18.79,4,half_space_right,3,attacking_third,False,8_4,400,,,,3,drawing,0,0,5,2,finish,8,low_block,False,False,7.53,-28.36,1,forward,False,False,,,,13.75,16.11,2.36,19.63,27.09,1.41,2.46,1.05,32.87,25.41,-7.46,False,False,,False,,,,,,,,,,,,,,,,41.14,3,long,-73.77,4,sideway_right,,,,,,,True,6,3,3,3,ahead,3,ahead,45.65,41.71,2.09,27.38,1,wide_left,2,middle_third,False,13.13,21.3,1,wide_left,2,middle_third,False,False,False,,False,False,0.013,0.7839,0.8963,True,443,False,4,True,True,True,,True
7_9,9,1875301,416,446,00:33.6,00:36.6,0,33,3.0,1,1,left_to_right,7,passing_option,62445,B. Banda,19,CF,149882,K. Abello,2,LB,2334,Orlando Pride,18.86,14.17,2,half_space_left,3,attacking_third,False,22.03,11.25,2,half_space_left,3,attacking_third,False,8_4,400,,,,3,drawing,0,0,5,2,finish,8,low_block,False,False,4.98,-42.65,1,forward,False,False,4.03,1,jogging,1.4,2.28,0.88,19.69,26.42,0.83,4.39,3.56,32.81,26.08,-6.73,True,True,,False,,,,,,,,,,,,,,,,14.29,1,short,-38.63,1,forward,,,,,,,True,6,3,3,3,ahead,3,ahead,20.96,13.62,2.36,27.1,1,wide_left,2,middle_third,False,12.62,21.1,1,wide_left,2,middle_third,False,False,False,,False,True,0.0187,0.5217,0.7997,True,433,False,4,False,True,True,,False
