event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,1846146,118,132,00:03.8,00:05.2,0,3,1.4,1,2,right_to_left,7,passing_option,62445,B. Banda,19,CF,149873,A. Moorhouse,1,GK,2334,Orlando Pride,4.94,12.65,2,half_space_left,2,middle_third,FALSE,12.62,11.56,2,half_space_left,2,middle_third,FALSE,8_1,113,1_0,8,run_ahead_of_the_ball,3,drawing,0,0,1,6,direct,15,defending_direct,FALSE,FALSE,7.77,-8.08,1,forward,FALSE,FALSE,21.47,3,hsr,6.34,4.75,-1.59,22.32,21.73,17.38,9.11,-8.27,32.68,33.27,0.59,TRUE,TRUE,,TRUE,442,3,TRUE,1,through,TRUE,1,through,FALSE,,,2,second_last,1,through,52.94,3,long,12.5,1,forward,,,,,,,TRUE,10,4,6,3,ahead,3,ahead,46.13,52.94,-39.49,0.23,3,center,1,defensive_third,FALSE,-39.06,0.1,3,center,1,defensive_third,FALSE,TRUE,FALSE,,FALSE,FALSE,0.0038,0.7794,0.8661,TRUE,132,TRUE,1,TRUE,FALSE,FALSE,,FALSE
7_1,1,1846146,123,132,00:04.3,00:05.2,0,4,0.9,1,2,right_to_left,7,passing_option,610122,S. Yates,16,LW,149873,A. Moorhouse,1,GK,2334,Orlando Pride,6.32,20.8,1,wide_left,2,middle_third,FALSE,10.58,20.59,1,wide_left,2,middle_third,FALSE,8_1,113,1_1,8,run_ahead_of_the_ball,3,drawing,0,0,1,6,direct,15,defending_direct,FALSE,FALSE,3.82,-2.82,1,forward,FALSE,FALSE,,,,4.53,1.36,-3.17,22.01,21.73,15.69,11.15,-4.54,32.99,33.27,0.28,FALSE,FALSE,,TRUE,442,3,TRUE,2,around,TRUE,1,through,FALSE,,,2,second_last,1,through,53.7,3,long,22.43,1,forward,,,,,,,TRUE,10,4,6,3,ahead,3,ahead,50.17,53.7,-39.39,0.13,3,center,1,defensive_third,FALSE,-39.06,0.1,3,center,1,defensive_third,FALSE,FALSE,FALSE,,FALSE,FALSE,0.0028,0.7697,0.8009,TRUE,132,FALSE,1,TRUE,FALSE,FALSE,,FALSE
7_2,2,1846146,194,200,00:11.4,00:12.0,0,11,0.6,1,2,right_to_left,7,passing_option,62389,Angelina,12,LM,22542,Marta,19,CF,2334,Orlando Pride,8.36,11.64,2,half_space_left,2,middle_third,FALSE,9.43,12.28,2,half_space_left,2,middle_third,FALSE,8_4,194,,,,3,drawing,0,0,3,1,create,9,medium_block,TRUE,FALSE,1.25,30.88,1,forward,FALSE,FALSE,7.4,1,jogging,4.63,3.9,-0.73,27.07,25.84,18.71,16.41,-2.3,27.93,29.16,1.23,TRUE,TRUE,FALSE,TRUE,4411,2,,,,FALSE,,,FALSE,,,,,,,4.51,1,short,104.9,3,sideway_left,3.45,1,short,106.86,3,sideway_left,FALSE,6,6,0,2,same_line,2,same_line,4.85,4.51,10.74,7.41,3,center,2,middle_third,FALSE,10.59,7.92,3,center,2,middle_third,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.0039,0.9122,0.9434,TRUE,200,TRUE,2,TRUE,TRUE,TRUE,TRUE,FALSE
7_3,3,1846146,194,200,00:11.4,00:12.0,0,11,0.6,1,2,right_to_left,7,passing_option,149882,K. Abello,2,LB,22542,Marta,19,CF,2334,Orlando Pride,11.54,17.04,2,half_space_left,2,middle_third,FALSE,10.7,17.83,2,half_space_left,2,middle_third,FALSE,8_4,194,,,,3,drawing,0,0,3,1,create,9,medium_block,TRUE,FALSE,1.15,136.76,2,backward,FALSE,FALSE,6.91,1,jogging,3.77,3.84,0.07,27.07,25.84,15.53,15.14,-0.39,27.93,29.16,1.23,FALSE,FALSE,,TRUE,4411,2,,,,FALSE,,,FALSE,,,,,,,9.72,1,short,85.99,3,sideway_left,,,,,,,FALSE,6,6,0,2,same_line,2,same_line,9.66,9.91,10.74,7.41,3,center,2,middle_third,FALSE,10.59,7.92,3,center,2,middle_third,FALSE,FALSE,FALSE,,FALSE,FALSE,0.0023,0.9437,0.8376,TRUE,195,TRUE,2,TRUE,TRUE,TRUE,,FALSE
7_4,4,1846146,196,200,00:11.6,00:12.0,0,11,0.4,1,2,right_to_left,7,passing_option,62445,B. Banda,19,CF,22542,Marta,19,CF,2334,Orlando Pride,21.18,7.36,3,center,3,attacking_third,FALSE,21.14,7.2,3,center,3,attacking_third,FALSE,8_4,194,,,,3,drawing,0,0,3,1,create,9,medium_block,TRUE,FALSE,0.21,-104.62,4,sideway_right,FALSE,FALSE,1.68,1,jogging,5.73,4.98,-0.75,26.65,25.84,5.47,4.7,-0.77,28.35,29.16,0.81,TRUE,TRUE,,TRUE,4411,2,,,,FALSE,,,FALSE,,,,,,,10.54,1,short,-3.1,1,forward,,,,,,,TRUE,6,4,2,3,ahead,3,ahead,10.5,10.57,10.68,7.53,3,center,2,middle_third,FALSE,10.59,7.92,3,center,2,middle_third,FALSE,FALSE,FALSE,,FALSE,FALSE,0.0178,0.7713,0.6519,TRUE,199,TRUE,2,TRUE,TRUE,TRUE,,FALSE
7_5,5,1846146,207,221,00:12.7,00:14.1,0,12,1.4,1,2,right_to_left,7,passing_option,149882,K. Abello,2,LB,62389,Angelina,12,LM,2334,Orlando Pride,9.88,18.98,2,half_space_left,2,middle_third,FALSE,11.4,22.17,1,wide_left,2,middle_third,FALSE,8_5,207,,,,3,drawing,0,0,4,2,finish,8,low_block,TRUE,FALSE,3.81,64.52,3,sideway_left,TRUE,FALSE,9.9,1,jogging,4.41,6.41,2,24.76,25.87,14.88,14.47,-0.41,30.24,29.13,-1.11,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,9.52,1,short,115.57,3,sideway_left,,,,,,,FALSE,6,7,-1,2,same_line,1,behind,6.04,9.81,10.88,13.02,2,half_space_left,2,middle_third,FALSE,15.67,13.34,2,half_space_left,2,middle_third,FALSE,FALSE,FALSE,,FALSE,FALSE,0.0037,0.7041,0.6138,TRUE,220,TRUE,2,FALSE,TRUE,TRUE,,FALSE
7_6,6,1846146,207,228,00:12.7,00:14.8,0,12,2.1,1,2,right_to_left,7,passing_option,62445,B. Banda,19,CF,62389,Angelina,12,LM,2334,Orlando Pride,21.37,7.44,3,center,3,attacking_third,FALSE,27.61,11.84,2,half_space_left,3,attacking_third,FALSE,8_5,207,1_2,1,behind,3,drawing,0,0,4,2,finish,8,low_block,TRUE,FALSE,7.22,35.19,1,forward,TRUE,FALSE,13.3,1,jogging,3.59,2.88,-0.71,24.76,28.63,3.39,1.02,-2.37,30.24,26.37,-3.87,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,8.44,1,short,-13.64,1,forward,1.83,1,short,165.43,2,backward,TRUE,5,0,5,3,ahead,3,ahead,11.88,8.44,10.88,13.02,2,half_space_left,2,middle_third,FALSE,19.41,13.83,2,half_space_left,3,attacking_third,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.0306,0.6571,0.8645,TRUE,228,TRUE,2,TRUE,TRUE,TRUE,TRUE,FALSE
7_7,7,1846146,207,228,00:12.7,00:14.8,0,12,2.1,1,2,right_to_left,7,passing_option,610122,S. Yates,16,LW,62389,Angelina,12,LM,2334,Orlando Pride,22.03,17.13,2,half_space_left,3,attacking_third,FALSE,23.89,19.69,2,half_space_left,3,attacking_third,FALSE,8_5,207,,,,3,drawing,0,0,4,2,finish,8,low_block,TRUE,FALSE,3.96,54,3,sideway_left,FALSE,FALSE,9.15,1,jogging,0.48,4.4,3.92,24.76,28.63,2.73,4.74,2.01,30.24,26.37,-3.87,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,7.38,1,short,52.6,3,sideway_left,,,,,,,TRUE,5,4,1,3,ahead,3,ahead,11.88,7.38,10.88,13.02,2,half_space_left,2,middle_third,FALSE,19.41,13.83,2,half_space_left,3,attacking_third,FALSE,FALSE,FALSE,,FALSE,FALSE,0.0126,0.8868,0.9334,TRUE,228,TRUE,2,TRUE,TRUE,TRUE,,FALSE
7_8,8,1846146,555,571,00:47.5,00:49.1,0,47,1.6,1,2,right_to_left,7,passing_option,149873,A. Moorhouse,1,GK,149954,K. Strom,4,LCB,2334,Orlando Pride,-42.49,7.16,3,center,1,defensive_third,FALSE,-46.53,9.26,2,half_space_left,1,defensive_third,FALSE,8_7,554,,,,3,drawing,0,0,6,0,build_up,10,high_block,FALSE,FALSE,4.58,152.53,2,backward,TRUE,FALSE,10.5,1,jogging,28.22,23.71,-4.5,15.61,11.27,58.1,57.8,-0.3,39.39,43.73,4.34,FALSE,FALSE,,TRUE,4141,2,,,,FALSE,,,FALSE,,,,,,,26.11,2,medium,-134.98,4,sideway_right,,,,,,,FALSE,10,10,0,1,behind,1,behind,26.11,26.45,-24.03,25.63,1,wide_left,1,defensive_third,FALSE,-30,29.91,1,wide_left,1,defensive_third,FALSE,FALSE,FALSE,,FALSE,FALSE,0,0.9679,0.7041,TRUE,555,TRUE,3,FALSE,TRUE,TRUE,,FALSE
7_9,9,1846146,565,584,00:48.5,00:50.4,0,48,1.9,1,2,right_to_left,7,passing_option,610122,S. Yates,16,LW,149954,K. Strom,4,LCB,2334,Orlando Pride,-3.79,27.5,1,wide_left,2,middle_third,FALSE,-10.68,30.31,1,wide_left,2,middle_third,FALSE,8_7,554,,,,3,drawing,0,0,6,0,build_up,10,high_block,FALSE,FALSE,7.12,157.81,2,backward,FALSE,FALSE,,,,5.45,4.34,-1.11,12.98,8.32,16.77,19,2.23,42.02,46.68,4.66,TRUE,FALSE,,FALSE,,,,,,,,,,,,,,,,22.89,2,medium,-5.94,1,forward,,,,,,,TRUE,9,5,4,3,ahead,3,ahead,24.44,19.16,-28.23,27.78,1,wide_left,1,defensive_third,FALSE,-29.62,33.18,1,wide_left,1,defensive_third,FALSE,FALSE,FALSE,,FALSE,FALSE,0.0007,0.7739,0.9044,TRUE,575,FALSE,4,TRUE,TRUE,TRUE,,TRUE
